title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
"Fairytale,",cillia,Nevo,kyaami vocaloid vocaloid4 buzzG VY1V4 cover japanese rock nikakis fieryrage,4,305.3853125,1000669,0.009823655156958473
Zero Centimeters (TV Size),Ohara Yuiko,-Mikan,Kanon Matsubara Garden semyon422 _Asha Shinitagari piroshki karakai jouzu no takagi-san 2 skilled teaser anime japanese opening op 2,2,89.46503401360545,1000722,0.011177551219037423
Hole In The Heart,Yorushika,Ryuusei Aika,Kokoro ni Ana ga Aita ujimatcha kalibe coloured glazee coloured_glazee Senseabel deetz mirash ナブナ nbuna n-buna スイ suis エルマ elma,2,264.5420408163265,1000972,0.0037801175076528095
Zero Centimeters,Ohara Yuiko,realy0_,season 2 Karakai Jouzu no Takagi San tv size opening op ~Opening Edition~ Minoru Yoshida Masayuki Fukutomi KwAIMSuckASFuk centimeter anime japanese,2,106.13628117913832,1001496,0.009421848861580007
Team Magma & Aqua Leader Battle Theme (Unofficial),Bliitzit,Sotarks,video game instrumental pokémon pokemon pocket monsters omega ruby alpha sapphire emerald oras rse battle team aqua magma 増田 順 Junichi Masuda edit remix 足立美奈子 黒田英明 Adachi Minako Kuroda Hideaki Sentou! Aqua-dan / Magma-dan no Leader 戦闘! アクア団・マグマ団のリーダー akitoshi corinn -laura- reform kujinn kowari smokelind,2,79.7160625,1002271,0.012544523257154102
Kanade (TV Size),Takagi-san (CV: Takahashi Rie),Karen,Karakai Jouzu no Takagi-san 2 skilled teaser takagi-san 一週間フレンズ。One week Isshuukan Friends 藤宮香織 雨宮天 Fujimiya Kaori Amamiya Sora japanese anime ed ending Cover Song Collection,2,90.1166439909297,1004335,0.011096729257923215
Acchi Muite (TV Size),Swimy,MiracleE,japanese 銀魂° 2015 ending Gintama season 4 male vocal anime xzbidit kowari reform kujinn iljaaz wenect,2,92.09,1005855,0.01085894233901618
Boss Of Me (TV Size),They Might Be Giants,Cris-,TheShadowOfDark ezek Tatan Gero Hazu- wolf3211 pkhg Opening Intro English Alternative Rock TMBG,3,35.86548752834467,1006284,0.055763915056762856
RE-OVERDOSE,highcolor_sunz,Mirash,allein Beren vocaloid 1 sleeping 2 repeat 3 OVERDOSE Japanese rock highcolorsunz ハイカラさん Haikara-san highcolor-san highcolorsun ぽわぽわP PowapowaP ぽわぽわ Powapowa 椎名もた siinamota hatsune miku reoverdose cut scissors,3,201.11673469387756,1020335,0.009944473308221846
Crossfire,Stephen,AirinCat,sincerely indie alternative,2,274.0244897959184,1020800,0.0036493088655862723
Xing Noises,UNDEAD CORPORATION,Niva,u_c_official crossing flashback flash back featured artist rock metal english mappers' guild 朱美 Akemi 窪田道元 Dougen Kubota 仁耶 Jinya 社長 Shachou YU-TO,2,243.40897959183673,1021829,0.004108311869499893
Mushroom Mother,PinocchioP,YunoFanatic,hatsune miku vocaloid onosakihito lilywhite tsusuko mingmichael,4,135.39905,102307,0.022156728573797232
Kaeri wa Kowai,UNDEAD CORPORATION,walaowey,High Tempo Beatmap Pack FA Featured Artist Gremio Mappers' Guild MG 鬼ーONIー TOHO Complete Box 東方Project Touhou Japanese Instrumental Videogame video game byakuren hijiri 聖 白蓮 法界の火 fires of hokkai kaheri is scary 鬼伽草子 Oni Fairy-tale Book,2,102.4261224489796,1025382,0.00976313440448865
Senorita,(G)I-DLE,Seto Kousuke,K-pop Kpop Mapping Contest V2 Senhorita Korean Pop 큐브엔터테인먼트 Cube Entertainment I Made 미연 Miyeon 민니 Minnie 수진 Soojin 소연 Soyeon 우기 Yuqi 슈화 Shuhua señorita,2,197.64244897959185,1026178,0.005059641818662437
Children Record,JIN feat. MARiA from GARNiDELiA,Nevo,vocaloid Mekakucity メカクシティアクターズ Actors reload kagerou project カゲロウプロジェ 自然の敵P Shizen no Teki P Teki-P TekiP nikakis smokelind akitoshi corinn -laura- airincat,2,189.23102040816326,1028642,0.0052845458310325786
MAYDAY (feat. Ryo from Crystal Lake),coldrain,AirinCat,english rock anime enn Enen no Shouboutai shobotai shoubotai shoboutai brigade of flames fire force opening 2 two op second full version ver kinoshita the side effects david production fireforce,2,227.05632653061224,1030814,0.004404193511274736
