title,artist,creator,tags,num_uninherited_points,mp3_duration_seconds,song_name,variation_rating_uninherited
FLARE (TV Size),Void_Chords feat. LIO,Cami,Momochikun Arifureta Shokugyou de Sekai Saikyou From Commonplace to World's Strongest 白米良 Ryo Shirakome 高橋諒 Takahashi Lantis White Fox Asread Company Limited Co. Ltd. Opening Anime,1,89.72190476190477,1000078,0.0
Good Time,Owl City & Carly Rae Jepsen,Gero,Midsummer Station Adam Young XinCrin ezek Natsu mancusojuanmattos mancuso_JM_ Collab Collaboration Kiss,1,207.13025,100019,0.0
If You Can't Hang,Sleeping With Sirens,attendant,cant kellin quinn lets let's cheers to this english male vocals alternative rock post hardcore pop punk,1,250.2791836734694,1000309,0.0
Umeyukiyo,Qrispy Joybox feat.mao,LKs,Duca colette beatmania IIDX 20 tricoro jubeat saucer pop'n music Sunny Park Azure Nemis ampzz,1,109.17108333333333,100040,0.0
Sprinter,Kalafina,ccbp,kara no kyoukai sogasogamo cc kalafina kajiura yuki vibty99,1,301.5,10006,0.0
HELLO to DREAM (TV Size),Iguchi Yuka,Gottagof4st,ダンまち DanMachi 2nd Season Is It Wrong That I Want to Meet Onlybiscuit in a Dungeon 2nd Season Zelq ggf Gottagofast cami rolniczy contagious byd bite you death you brotarks  to Try to Pick Up Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1,90.48,1001238,0.0
oyasumi,Shiggy Jr.,-Arche,listen to the music jpop japanese vocal pop junior おやすみ tomoko ikeda 池田 智子 shigeyuki harada 原田 茂幸 natsuhiko mori 森 夏彦 kazuma moroishi 諸石 和馬 cut short version nanomortis UNIVERSAL SIGMA Nao Tomori Naotoshi,1,47.151,1001305,0.0
Mizuoto to Curtain,MIMI feat. Hatsune Miku,Mak Kau Hijau,佐藤主税 vocaloid japanese novelty,1,171.07698412698412,1001653,0.0
Charles (Arrange ver.),Hanabasami Kyo,Asuka_-,バルーン balloon vocaloid Vtuber syaruru re:act ハサミウタ hasami_uta hypercyte hypercute dkblaze japanese novelty 歌ってみた sharuru,1,84.46031746031746,1001673,0.0
Corona,Utsu-P,Net0,edu edward Mirash Osu Tatakae Ouendan Crown my song is shit utsup metal vocaloid MOKSHA rock power kagamine rin 鏡音リン japanese,1,236.21333333333334,1001722,0.0
MUKANJYO (TV Size),Survive Said The Prophet,AirinCat,vinland saga anime op japanese opening rock jrock yosh morita Tatsuya Ivan Yudai,1,90.264,1002317,0.0
Til Death (Nightcore Mix),Digital Sexy,Sotarks,Techno Trance Dance Technoposse Remix Mix Cut Edit Speed Up Version English Vocalist reform kujinn taeyang kowari akitoshi corinn -laura-,1,117.30730158730158,1002716,0.0
Build Our Machine [Remix] feat. Triforcefilms,SayMaxWell,eiri-,Ayyri Electronic Video Game English -Sylvari Blitzifyyy Kalindraz Battle DAGames SMW,1,228.4955328798186,1002784,0.0
Excalibur ~Revived resolution~,Project Grimoire,SMOKELIND,Team Yooh Arcade Instrumental Video Game,1,133.82530612244898,1002960,0.0
veil (TV Size),Suda Keina,Fixxis,Fire brigade of flames ending one 1 ed short version Xehn Senseabel Hypercyte ImpurePug fire force en en no shouboutai hypercute loreley tatemae anishina kodoku haruto xenon-,1,91.344,1004116,0.0
Gypsy Tronic,M2U,Gomo Pslvarh,ANALOG S.I.D-SOUND Lucy HAZARD jieusieu HelloSCV Ra-s lepidopodus Sonnyc,1,151.928125,100445,0.0
Guinea Pig Bridge,Parry Gripp,Sotarks,english vocalist children music pop reform kujinn Nagasaki Bio Park,1,43.76854875283447,1004468,0.0
Norowareta Sei / Shukufuku Sareta Sei (the confusion),Kinoshita,Mirash,neko ds lu^3 hey_lululu allein subahibi subarashiki hibi remix Quite!Quiet!! rock japanese ~Furenzoku Sonzai~ jrock eroge すかぢ szak SCA-ji KeroQ Wonderful Everyday Discontinuous Existence Diskontinuierliches Dasein,1,281.02530612244897,1004928,0.0
Futari no Kimochi no Honto no Himitsu (TV Size),"Akasaki Chinatsu, Tamura Mutsumi",Irreversible,j.c.staff manga time kirara carat yasuna to sonya ending 折部 やすな ソーニャ,1,90.12241666666667,100517,0.0
